,标题,原文链接
326,黄淮学院2022005—多媒体教室改造（货物）-中标公告,http://zhumadian.hngp.gov.cn/zhumadian/content?infoId=1234708&channelCode=H780602
327,洛阳市孟津区第一高级中学新区高中教育教学设备采购项目（第一批）第五标段二次中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1234653&channelCode=D690503
335,郑州市第一〇三高级中学开办费-化学创新实验室项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1234514&channelCode=H610102
336,郑州市第一〇三高级中学开办费-校园文化建设（一期）项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1234512&channelCode=H610102
337,郑州市第一〇三高级中学开办费-生物创新竞赛实验室项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1234511&channelCode=H610102
338,郑州市郑东新区永昌幼儿园玩教具家具项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1234427&channelCode=D360202
339,安阳幼儿师范高等专科学校校园高速网络提升改造项目（二次）中标公告,http://anyang.hngp.gov.cn/anyang/content?infoId=1234105&channelCode=H660202
340,【平公资采2022856号】河南质量工程职业学院2022-2025学年教材采购中标公告,http://pingdingshan.hngp.gov.cn/pingdingshan/content?infoId=1233502&channelCode=H650204
344,河南科技学院新东校区智慧教室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1233302&channelCode=H600102
351,河南财经政法大学2022年灾后受损中文图书购置项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1232360&channelCode=H600102
356,柳青路小学连廊及阅读角项目结果公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1230703&channelCode=H680204
359,河南警察学院侦查学模拟侦查实验中心(一期)建设项目(二次)中标公告,http://www.hngp.gov.cn/henan/content?infoId=1230887&channelCode=H600102
362,安阳师范学院大学生创新实践基地项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1230532&channelCode=H600102
363,许昌职业技术学院数码钢琴实训室项目 中标结果公告,http://www.hngp.gov.cn/henan/content?infoId=1231409&channelCode=H710204
366,郑州旅游职业学院智慧旅游虚拟仿真实验实训中心项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1229873&channelCode=H610102
368,淇县职业中等专业学校中职双高2022年度建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1229879&channelCode=H670202
370,郑州信息科技职业学院河南在线教育课程制作基地展示与审核环境建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1229975&channelCode=H600102
371,郑州铁路职业技术学院高职专业教学资源库建设（双高校建设项目）项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1229545&channelCode=H600102
372,南阳师范学院综合楼及博睿楼智慧教室建设项目中标公告,http://www.hngp.gov.cn/henan/content?infoId=1230147&channelCode=H600102
373,郑州旅游职业学院跨境电商产教融合实训基地项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1228389&channelCode=H610102
375,河南建筑职业技术学院工程管理系专业课程体系数字化升级改造项目（二次） 结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1228127&channelCode=H600102
380,安阳师范学院智慧教室建设项目多媒体设备更新部分项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1227763&channelCode=H600102
382,洛阳职业技术学院省级老服专业资源库建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1226947&channelCode=H640102
385,舞阳县第一高级中学舞阳一高新建宿舍办公楼配套设备采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1227095&channelCode=H720202
386,郑州市第五十六高级中学（郑州市郑开示范高级中学）2022年物理实验室设备项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1225661&channelCode=H610102
387,郑州师范学院2022年投资学专业实践平台项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1225565&channelCode=H610102
388,新安县职业高级中学新安职高教学平台与实训软件建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1225476&channelCode=D760502
393,郑州市郑东新区龙源第一幼儿园室内外玩教具家具项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1224717&channelCode=D360202
394,郑州市郑东新区象湖第一幼儿园室内外玩教具家具项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1224721&channelCode=D360202
395,郑州市郑东新区白沙中心幼儿园室内外玩教具家具项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1224719&channelCode=D360202
396,郑州市第五十六高级中学（郑州市郑开示范高级中学）2022年生物实验室设备项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1224636&channelCode=H610102
397,郑州市第五十六高级中学（郑州市郑开示范高级中学）2022年化学实验室设备项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1224619&channelCode=H610102
398,洛阳职业技术学院伊滨校区物业外包服务项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1223374&channelCode=H640102
399,退役民航客机A320-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1224225&channelCode=H660202
402,河南信息统计职业学院白沙校区教学楼功能提升与改造项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1224561&channelCode=H600102
403,商丘师范学院师范生职业技能实训中心建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1224486&channelCode=H600102
407,南阳市第十五小学校七一路校区学生微机室装备项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1221946&channelCode=H740602
408,【平公资采2022763号】河南质量工程职业学院致知楼教室桌椅更换项目结果公示,http://pingdingshan.hngp.gov.cn/pingdingshan/content?infoId=1221376&channelCode=H650202
409,河南工学院云网络语音室项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1221380&channelCode=H600102
411,南阳市第十一完全学校采购设备一批项目中标公告,http://nanyang.hngp.gov.cn/nanyang/content?infoId=1220391&channelCode=H740602
414,三门峡职业技术学院建筑工程学院建筑结构信息化实验实训室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1219561&channelCode=H730202
416,南阳市第十五完全学校采购学生用床、课桌凳一批项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1220386&channelCode=H740602
418,商丘师范学院文化旅游综合教学实验中心项目中标公告,http://www.hngp.gov.cn/henan/content?infoId=1218436&channelCode=H600102
421,安阳师范学院艺术实验室项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1218916&channelCode=H600102
428,社旗县中等职业学校2021-2022学年“双高”建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1215514&channelCode=H740602
430,南阳师范学院5G虚拟仿真实训室项目竞争性磋商采购结果公示,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1215270&channelCode=H740604
431,河南信息统计职业学院智能化云网络安全攻防实训中心项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1215072&channelCode=H600102
435,洛阳理工学院2022-2023学年第一学期教材采购项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1214083&channelCode=H600104
436,郑州市第五十六高级中学（郑州市郑开示范高级中学）2022年学术报告厅和合班教室项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1213998&channelCode=H610102
437,商丘师范学院物理实验技能实训室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1213825&channelCode=H600102
438,漯河职业技术学院2022—2023学年教材采购项目中标公示,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1214133&channelCode=H720204
439,河南中医药大学多媒体教室智慧化建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1213837&channelCode=H600102
440,浚县第三高级中学综合楼维修改造项目（设备采购）-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1214113&channelCode=H670202
441,郑州市第五十六高级中学（郑州市郑开示范高级中学）2022年智慧校园应用平台项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1214299&channelCode=H610102
443,林州市姚村镇第一初级中学教室内墙修补及粉刷项目中标公示,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1212190&channelCode=H660204
445,新乡职业技术学院教室粉刷项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1212888&channelCode=H680202
453,河南水利与环境职业学院水生态修复综合实训室项目补充协议,http://www.hngp.gov.cn/henan/content?infoId=1210521&channelCode=H601401
454,洛阳市孟津区第一高级中学新区高中教育教学设备采购项目（第一批）第六标段第七标段-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1209896&channelCode=D690503
455,洛阳市孟津区第一高级中学新区高中教育教学设备采购项目（第一批）第一标段-第四标段-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1209895&channelCode=D690503
458,南阳市第十五小学校直播录播教室装备项目中标公告,http://nanyang.hngp.gov.cn/nanyang/content?infoId=1209686&channelCode=H740604
462,焦作师范高等专科学校实训室智能管理中心建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1209349&channelCode=H690202
463,郑州财税金融职业学院航空综合实训基地建设项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1208904&channelCode=H610102
464,郑州市金融学校新能源汽车实训基地建设项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1208303&channelCode=H610102
465,郑州市金融学校物流现代综合作业实训室建设项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1208300&channelCode=H610102
469,河南省妇女干部学校（河南省幼儿师范学校）智能云会计信息化综合实训室项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1208030&channelCode=H600102
472,洛阳铁路信息工程学校1+X列车运行自动控制系统现场信号设备运用与维护培训系统项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1207534&channelCode=H600102
474,郑州市第六十五中学多功能室项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1206140&channelCode=D270202
477,【平公资采2022774号】电子商务实训室采购（二次）-结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1205922&channelCode=H650202
478,河南护理职业学院大学生心理健康教育与咨询中心建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1206267&channelCode=H600102
479,河南财政金融学院智慧校园网络设备更新项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1205393&channelCode=H600102
481,河南财政金融学院教学设备采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1206309&channelCode=H600102
486,郑州电力高等专科学校思政VR实践教学中心建设项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1204424&channelCode=H600102
487,郑州电力高等专科学校垃圾焚烧发电运行与维护（1+X证书）全国中心考核示范站点建设项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1204408&channelCode=H600102
489,河南水利与环境职业学院水生态修复综合实训室项目补充协议,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1203777&channelCode=H601401
493,南阳理工学院2021年智慧教室建设项目（二次）中标公告,http://nanyang.hngp.gov.cn/nanyang/content?infoId=1203481&channelCode=H740602
497,南阳市第十五小学校孔明路校区教室空调装备采购安装工程项目-中标公告,http://nanyang.hngp.gov.cn/nanyang/content?infoId=1201293&channelCode=H740602
499,郑州信息科技职业学院物联网综合创新实训室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1201731&channelCode=H600102
501,濮阳市职业中等专业学校“河南省中等职业教育双高项目”建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1201231&channelCode=H700202
505,河南省妇女干部学校（河南省幼儿师范学校）2022年智慧黑板采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1201706&channelCode=H600102
507,河南水利与环境职业学院北教学楼多媒体教室改造项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1201542&channelCode=H600102
509,【平公资采2022699号】平顶山市第三高级中学一高校区宿舍楼、实验楼、阶梯教室外墙、文化长廊维修改造工程中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1200353&channelCode=H650202
512,商丘师范学院智能制造工业网络通讯实训室项目结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1198384&channelCode=H750604
513,新乡医学院精品在线开放课程制作项目2包中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1198628&channelCode=H600102
514,河南科技大学电子商务研究院项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1198772&channelCode=H600102
516,河南工业和信息化职业学院物业服务项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1199412&channelCode=H600102
517,黄淮学院2022018—采购2022—2023学年度师生教材（货物）-中标公告,http://zhumadian.hngp.gov.cn/zhumadian/content?infoId=1198153&channelCode=H780602
523,焦作师范高等专科学校学前教育专业实训室建设项目-中标公告,http://jiaozuo.hngp.gov.cn/jiaozuo/content?infoId=1195937&channelCode=H690202
526,河南工业职业技术学院智慧融合云管理平台（一期）项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1196596&channelCode=H600102
528,河南交通职业技术学院公路学院基础实训室条件提升建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1195820&channelCode=H600102
534,临颍县第一高级中学临颍一高护眼灯更换项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1194141&channelCode=H720202
535,河南工业贸易职业学院音乐表演综合实训室项目 中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1194992&channelCode=H600102
536,【平公资采2022619号】平顶山职业技术学院物业服务-中标公告,http://pingdingshan.hngp.gov.cn/pingdingshan/content?infoId=1193150&channelCode=H650202
540,河南警察学院纸质图书采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1193143&channelCode=H600102
541,郑州市第二初级中学计算机教室项目中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1192069&channelCode=D250202
544,河南推拿职业学院针灸推拿虚拟仿真实训室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1192545&channelCode=H600102
545,黄河水利职业技术学院电子商务专业群资源库建设项目包B、包C-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1191477&channelCode=H600102
546,2022年精品课在线开放课程视频资源制作中标（成交）结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1191612&channelCode=H670204
547,叶县中等专业学校搬迁项目办公家具采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1192377&channelCode=D490202
553,新乡学院2022-2024学年教材采购项目-中标公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1189631&channelCode=H680204
554,郑州大学信息化办公室2022年度多媒体教室运维服务外包项目结果公示,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1189493&channelCode=H600104
555,河南艺术职业学院2021年河南全民技能振兴工程省级高技能人才培养示范基地项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1189196&channelCode=H600102
558,巩义市第一中等专业学校新能源汽车虚拟仿真实训基地建设项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1187723&channelCode=D310202
559,河南应用技术职业学院2022年物业综合服务（郑州校区、开封校区）招标项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1188687&channelCode=H600102
560,郑州市第四十七高级中学郑州市第四十七中学高中部东校区学生课桌椅及书包柜多媒体讲桌等（高三年级）项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1188198&channelCode=H610102
562,新乡市牧野区新飞大道小学智慧教室、智慧黑板购置项目结果公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1187064&channelCode=H680202
567,焦作师范高等专科学校应用电子技术教育专业实验实训室建设项目-中标公告,http://jiaozuo.hngp.gov.cn/jiaozuo/content?infoId=1186091&channelCode=H690202
572,河南交通职业技术学院道路工程试验检测实训基地项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1185566&channelCode=H600102
575,新乡市牧野区北干道小学计算机教室电脑、网络设备、智慧黑板、课桌凳、美术教室、科学教室建设项目结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1184634&channelCode=H680202
576,河南城建学院计算机与数据科学学院机房升级改造项目磋商结果公示,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1185065&channelCode=H600104
577,武陟县第一中学新增教室交互式电子黑板采购项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1184916&channelCode=D240204
582,辉县市第一高级中学教学区、办公区保洁项目 结果公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1182021&channelCode=H680202
583,巩义市第二高级中学学生教室与实验室设备能力提升项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1181464&channelCode=D310202
586,河南理工大学多媒体设备更新项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1180033&channelCode=H600102
590,郑州信息科技职业学院物联网综合创新实训室建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1179468&channelCode=H600102
599,河南护理职业学院心理实验室建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1178294&channelCode=H600102
604,新乡学院发酵与酿造校内实训平台项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1174662&channelCode=H680202
607,河南省经济管理学校筹建河南粮食科技职业学院专业实训室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1175064&channelCode=H600102
609,郑州市第五十七中学交互智能黑板项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1172968&channelCode=D250202
610,河南工业和信息化职业学院基于监控的云机房建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1173353&channelCode=H600102
612,河南检察职业学院培训后勤保障劳务外包项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1173067&channelCode=H600102
613,新乡市第四十一中学云机房、智慧黑板采购项目结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1173824&channelCode=H680202
617,临颍县第一高级中学临颍一高护眼灯更换项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1190860\u0026channelCode=H720201
618,卫辉市第一中学智慧云教室采购及附属设施建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1172159&channelCode=D530202
621,洛阳市第一高级中学育田数理探索馆项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1171057&channelCode=H640104
628,许昌学院鲲鹏产业学院实训室项目（一期）项目-中标公告,http://www.hngp.gov.cn/webfile/henan/cgxx/jggg/webinfo/2022/06/24/1169268.htm
630,许昌学院鲲鹏产业学院实训室项目（一期）项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1169268&channelCode=H600102
633,河南财政金融学院公共机房电脑升级改造项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1167131&channelCode=H600102
635,黄河水利职业技术学院电子商务专业群资源库建设项目包A-中标公告,http://www.hngp.gov.cn/webfile/henan/cgxx/jggg/webinfo/2022/06/22/1166457.htm
636,河南医学高等专科学校2022-2023年1、2学期教材采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1166621&channelCode=H600104
639,黄河水利职业技术学院电子商务专业群资源库建设项目包A-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1166457&channelCode=H600102
644,三门峡职业技术学院建筑工程学院力学与结构协同创新研究中心建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1161368&channelCode=H730202
646,林州市政北中学西广场北端、综合楼北边场地改造及教室楼东侧地埋污水管项目结果公示,http://anyang.hngp.gov.cn/anyang/content?infoId=1159946&channelCode=H660204
648,郑州信息科技职业学院学前教育多元教学专业实训室项目-中标公告,http://www.hngp.gov.cn/webfile/henan/cgxx/jggg/webinfo/2022/06/15/1158618.htm
649,郑州信息科技职业学院学前教育多元教学专业实训室项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1158618&channelCode=H600102
650,ZFCG-G2022039号许昌电气职业学院“许昌电气职业学院技能培训认定资格考试教室项目(不见面开标)”中标结果公告,http://www.hngp.gov.cn/webfile/xuchang/cgxx/jggg/webinfo/2022/06/1156067.htm
653,河南工业和信息化职业学院《数控车铣加工》“1+X”证书培训实训室建设项目结果公告,http://www.hngp.gov.cn/webfile/henan/cgxx/jggg/webinfo/2022/06/10/1155234.htm
654,开封市卫生学校信息化教学提升、护理实训基地建设二期、多媒体教室建设工程-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1177622\u0026channelCode=H600106
655,河南工业和信息化职业学院《数控车铣加工》“1+X”证书培训实训室建设项目结果公告,http://www.hngp.gov.cn/henan/content?infoId=1155234&channelCode=H600102
658,新乡县七里营镇康庄学校教室内外墙粉涂、屋顶治漏、教室线路改造工程结果公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1153516&channelCode=H680204
659,河南工业和信息化职业学院无人机应用技术综合实训室建设项目结果公告,http://www.hngp.gov.cn/henan/content?infoId=1153720&channelCode=H600102
661,获嘉县职业中等专业学校双高三期项目-中标公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1152564&channelCode=H680202
662,"河南工业和信息化职业学院""1+X""背景下建筑实训室提升改造项目-中标公告",http://www.hngp.gov.cn/webfile/henan/cgxx/jggg/webinfo/2022/06/08/1152158.htm
664,"河南工业和信息化职业学院""1+X""背景下建筑实训室提升改造项目-中标公告",http://www.hngp.gov.cn/henan/content?infoId=1152158&channelCode=H600102
