,标题,项目编号,原文链接,govurl,,,,,,,,,,,,,,,
1,中国劳动关系学院北京校区闻道楼多媒体教室教学设备集中控制项目中标公告,GXTC-A1-22631325,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230120_19400687.htm,1,,,,,,,,,,,,,,,
2,中国劳动关系学院北京校区闻道楼多媒体教室教学设备集中控制项目中标公告,GXTC-A1-22631325,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230120_19400687.htm,1,,,,,,,,,,,,,,,
3,北京市密云区古北口中学智慧校园建设项目中标公告,ZCGH-ZB-202212022,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202301/t20230118_19391073.htm,1,,,,,,,,,,,,,,,
4,北京市密云区古北口中学智慧校园建设项目中标公告,ZCGH-ZB-202212022,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202301/t20230118_19391073.htm,1,,,,,,,,,,,,,,,
7,[公开] 首都医科大学中控值机服务外包项目中标公告,11000022210200026092-XM001,http://www.ccgp-beijing.gov.cn/xxgg/sjzfcggg/sjzbjggg/t20230106_1478357.html,1,,,,,,,,,,,,,,,
8,北京师范大学珠海校区教室课桌椅采购项目中标公告,ZHWZ2022-488HW,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230105_19345328.htm,1,,,,,,,,,,,,,,,
9,北京师范大学珠海校区教室课桌椅采购项目中标公告,ZHWZ2022-488HW,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230105_19345328.htm,1,,,,,,,,,,,,,,,
10,中国地质大学(北京）保卫处校园消防中控值守项目中标公告,BIECC-22ZB1250,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230104_19339937.htm,1,,,,,,,,,,,,,,,
11,中国地质大学(北京）保卫处校园消防中控值守项目中标公告,BIECC-22ZB1250,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230104_19339937.htm,1,,,,,,,,,,,,,,,
12,北京市密云区古北口镇中心小学智慧校园建设项目中标公告,ZCGH-ZB-202212009,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202301/t20230104_19338645.htm,1,,,,,,,,,,,,,,,
13,改善办学保障条件—北京信息科技大学新校区三组团教室智慧教学应用系统建设项目（新竣工楼配套）其他家具用具采购项目中标公告,11000022210200024818-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221230_19327306.htm,1,,,,,,,,,,,,,,,
17,对外经济贸易大学博学楼智慧教室改造项目中标公告,BMCC-ZC22-0690,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221226_19299853.htm,1,,,,,,,,,,,,,,,
18,中国地质大学（北京）外国语学院教室更新改造项目中标公告,0873-2201HW1L1065,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221226_19296634.htm,1,,,,,,,,,,,,,,,
20,对外经济贸易大学智慧教室设施更新项目中标公告,0686-2211CJ090980Z,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221223_19287720.htm,1,,,,,,,,,,,,,,,
21,对外经济贸易大学知行楼特色智慧教室设备项目中标公告,0686-2211CJ090981Z,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221223_19287684.htm,1,,,,,,,,,,,,,,,
22,中国人民公安大学2022年智慧教室建设项目中标公告,2022-GADX-HW-236,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221221_19274355.htm,1,,,,,,,,,,,,,,,
23,中国人民公安大学2022年智慧教室建设项目中标公告,2022-GADX-HW-236,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221221_19274355.htm,1,,,,,,,,,,,,,,,
24,清华大学教学区教室保洁、值班、摆车服务中标公告,清后招2022096,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221220_19262578.htm,1,,,,,,,,,,,,,,,
25,北京大学智慧校园基础设施建设项目中标公告,BMCC-ZC22-0711,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221218_19251201.htm,1,,,,,,,,,,,,,,,
26,北京林业大学多媒体教室常态化录播采购项目中标公告,北林招（服）[ZB2022]100号,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221217_19249421.htm,1,,,,,,,,,,,,,,,
27,北京林业大学多媒体教室常态化录播采购项目中标公告,北林招（服）[ZB2022]100号,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221217_19249421.htm,1,,,,,,,,,,,,,,,
28,北京航空航天大学教务处北京航空航天大学两校区智慧教室配套桌椅购置项目中标公告,CTIETC-HWZB-2211072,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248763.htm,1,,,,,,,,,,,,,,,
29,北京航空航天大学教务处北京航空航天大学两校区智慧教室配套桌椅购置项目中标公告,CTIETC-HWZB-2211072,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248763.htm,1,,,,,,,,,,,,,,,
30,北京航空航天大学沙河校区新建智慧教室配套设备购置项目中标公告,CTIETC-HWZB-2211073,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248758.htm,1,,,,,,,,,,,,,,,
31,北京航空航天大学两校区智慧教室配套设备购置项目中标公告,CTIETC-HWZB-2211071,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248754.htm,1,,,,,,,,,,,,,,,
32,北京航空航天大学两校区智慧教室配套设备购置项目中标公告,CTIETC-HWZB-2211071,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248754.htm,1,,,,,,,,,,,,,,,
33,北京科技大学逸夫楼教室桌椅维修更换中标公告,BMCC-ZC22-0742,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248478.htm,1,,,,,,,,,,,,,,,
34,北京科技大学逸夫楼教室桌椅维修更换中标公告,BMCC-ZC22-0742,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248478.htm,1,,,,,,,,,,,,,,,
35,北京林业大学智慧教室改造采购项目中标公告,北林招（货）[ZB2022]058号,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221215_19239502.htm,1,,,,,,,,,,,,,,,
36,北京林业大学智慧教室改造采购项目中标公告,北林招（货）[ZB2022]058号,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221215_19239502.htm,1,,,,,,,,,,,,,,,
37,海淀区教师进修学校新校区智慧校园二期建设项目中标公告,11010822210200007488-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221215_19236325.htm,1,,,,,,,,,,,,,,,
39,中国人民大学通州新校区智慧教室设备及配套设施采购项目中标公告,XHTC-HW-2022-1507,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221213_19222210.htm,1,,,,,,,,,,,,,,,
40,北京师范大学珠海校区同声传译实训室设备采购项目中标公告,CFTC-BJ01-22011076,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221212_19211822.htm,1,,,,,,,,,,,,,,,
41,北京师范大学珠海校区同声传译实训室设备采购项目中标公告,CFTC-BJ01-22011076,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221212_19211822.htm,1,,,,,,,,,,,,,,,
42,北京市密云区西田各庄镇中心小学（卸甲山小学）计算机教室及主控机房设备更新改造工程中标公告,ZCGH-ZB-202211025,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221212_19207662.htm,1,,,,,,,,,,,,,,,
43,北京师范大学教学楼公共教室家具购置项目（一期）中标公告,BMCC-ZC22-0666,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221209_19200335.htm,1,,,,,,,,,,,,,,,
44,北京师范大学教学楼公共教室家具购置项目（一期）中标公告,BMCC-ZC22-0666,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221209_19200335.htm,1,,,,,,,,,,,,,,,
45,北京师范大学5G智慧校园示范场景建设项目中标公告,XHTC-HW-2022-1735,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221209_19199406.htm,1,,,,,,,,,,,,,,,
46,北京师范大学5G智慧校园示范场景建设项目中标公告,XHTC-HW-2022-1735,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221209_19199406.htm,1,,,,,,,,,,,,,,,
47,北京交通大学雄安校区智慧校园专项规划咨询服务项目中标公告,BMCC-ZC22-0568,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221207_19178166.htm,1,,,,,,,,,,,,,,,
48,北京市第二中学经开区学校校园改造提升项目-学科类专业教室改造中标公告,JKQCG_22_0560,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221207_19172428.htm,1,,,,,,,,,,,,,,,
49,北京市第二中学经开区学校校园改造提升项目-学校演播室录课室会议室阶梯教室改造升级（第二包）中标公告,JKQCG_22_0558,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221207_19172436.htm,1,,,,,,,,,,,,,,,
50,北京市第二中学经开区学校校园改造提升项目-学校演播室录课室会议室阶梯教室改造升级(第一包）中标公告,JKQCG_22_0557,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221207_19172435.htm,1,,,,,,,,,,,,,,,
51,首都师范大学附属中学实验学校教育教学专用教室及实验室建设预算项目中标公告,11011122210200004134-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221206_19169011.htm,1,,,,,,,,,,,,,,,
52,北京师范大学智慧教室建设项目中标公告,CFTC-BJ01-22011051,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221206_19169247.htm,1,,,,,,,,,,,,,,,
53,北京师范大学智慧教室建设项目中标公告,CFTC-BJ01-22011051,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221206_19169247.htm,1,,,,,,,,,,,,,,,
54,北京师范大学语音教室改造项目中标公告,CFTC-BJ01-22011050,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221206_19169191.htm,1,,,,,,,,,,,,,,,
55,北京师范大学语音教室改造项目中标公告,CFTC-BJ01-22011050,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221206_19169191.htm,1,,,,,,,,,,,,,,,
56,北京师范大学公共教室投影机更新项目二期中标公告,CFTC-BJ01-22011049,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221206_19168524.htm,1,,,,,,,,,,,,,,,
57,北京师范大学公共教室投影机更新项目二期中标公告,CFTC-BJ01-22011049,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221206_19168524.htm,1,,,,,,,,,,,,,,,
58,北京师范大学公共教室投影机更新项目二期中标公告,CFTC-BJ01-22011049,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221206_19168524.htm,1,,,,,,,,,,,,,,,
59,中华女子学院养老护理与老年康复实训室建设项目中标公告,20220920494-3,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221206_19163500.htm,1,,,,,,,,,,,,,,,
61,北京师范大学教九楼计算机教室改造项目中标公告,XHTC-HW-2022-1661,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221205_19160574.htm,1,,,,,,,,,,,,,,,
62,北京师范大学计算机教室改造项目中标公告,XHTC-HW-2022-1656,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221205_19160479.htm,1,,,,,,,,,,,,,,,
63,北京外国语大学智能教室三期设备采购项目中标公告,0730-226112BJ0137,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221205_19152260.htm,1,,,,,,,,,,,,,,,
64,北京市第十九中学（闵庄校区）办公家具专业教室等教育教学设备设施采购项目中标公告,11010822210200004106-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202211/t20221125_19090897.htm,1,,,,,,,,,,,,,,,
66,智慧校园建设基础环境集成实施服务采购项目中标公告,11011322210200003126-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202211/t20221117_19033729.htm,1,,,,,,,,,,,,,,,
67,现代服务业综合实训中心烹饪专业实训室设备购置项目中标公告,11011422210200002894-XM002,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202211/t20221117_19030812.htm,1,,,,,,,,,,,,,,,
70,智慧校园建设基础环境集成实施服务采购项目中标公告,11011322210200003127-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202211/t20221116_19023798.htm,1,,,,,,,,,,,,,,,
72,智慧管网实训室建设项目中标公告,11000022210200024502-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202211/t20221115_19012797.htm,1,,,,,,,,,,,,,,,
73,分类发展专项配套项目-综合楼教室灯光建设采购中标公告,11000022210200025340-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202211/t20221115_19011467.htm,1,,,,,,,,,,,,,,,
76,中国地质大学（北京）雄安校区智慧校园专项规划编制咨询服务中标公告,ZTXY-2022-F33661,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202211/t20221111_18995338.htm,1,,,,,,,,,,,,,,,
78,北京市密云区十里堡中学数字书法教室建设项目中标公告,ZCBJ-22ZBDLHS-ZB0228,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202211/t20221109_18977709.htm,1,,,,,,,,,,,,,,,
79,北京师范大学公共教室投影机更新项目一期中标公告,WT2022169/CFTC-BJ01-2210004,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202211/t20221108_18972109.htm,1,,,,,,,,,,,,,,,
80,北京工业职业技术学院特高建设-实训基地-华为信息与网络工程师学院-华为智能运维实训室采购项目中标公告,11000022210200021562-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202211/t20221107_18958625.htm,1,,,,,,,,,,,,,,,
82,北京工商大学改善办学保障条件-阜成路校区教三楼教室黑板及其他配套设施更换项目中标公告,CFTC-BJ01-2210001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202211/t20221103_18943078.htm,1,,,,,,,,,,,,,,,
83,模拟实训室中心设备购置（阶段一）中标公告,清设招第2022259号（TC221908K）,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202210/t20221031_18920806.htm,1,,,,,,,,,,,,,,,
93,密云区第五中学心理咨询教室改造项目中标公告,JCSBJ-2022-042,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202210/t20221025_18885025.htm,1,,,,,,,,,,,,,,,
94,昌平区教委农村校双师教室及精品双师录课室建设项目中标公告,11011422210200003076-XM002,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202210/t20221024_18874007.htm,1,,,,,,,,,,,,,,,
96,改善办学保障条件—北京信息科技大学新校区三组团教室智慧教学应用系统建设项目（新竣工楼配套）中标公告,11000022210200023446-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202210/t20221021_18866037.htm,1,,,,,,,,,,,,,,,
98,双高项目国产化适配迁移实训室建设项目行业应用软件采购项目中标公告,11000022210200012658-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202210/t20221014_18819391.htm,1,,,,,,,,,,,,,,,
99,双高项目现代信息产品与新技术实训室行业应用软件采购项目中标公告,11000022210200013871-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202210/t20221014_18819386.htm,1,,,,,,,,,,,,,,,
103,中国社会科学院大学智慧校园安防平台建设项目中标公告,XDZC-SKY2022008,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202210/t20221011_18795594.htm,1,,,,,,,,,,,,,,,
104,中小学教室灯光照明设备改造项目中标公告,11011322210200003303-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202209/t20220930_18751876.htm,1,,,,,,,,,,,,,,,
106,鸿蒙应用创新实训室建设项目高等教育服务采购项目中标公告,11000022210200013902-XM002,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202209/t20220928_18735000.htm,1,,,,,,,,,,,,,,,
108,北京市密云区西田各庄中学英语听说教室更新项目中标公告,ZCBJ-22ZBDLHS-ZB0187,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202209/t20220926_18719478.htm,1,,,,,,,,,,,,,,,
114,教室铺设弹性地坪中标公告,SHGC22209,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202209/t20220919_18672944.htm,1,,,,,,,,,,,,,,,
116,中国矿业大学（北京）沙河校区智慧教室建设项目中标公告,BIECC-22ZB0547,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202209/t20220916_18663557.htm,1,,,,,,,,,,,,,,,
117,北京邮电大学沙河校区专教教室建设项目中标公告,BUPT-HWXCZB-22019（CFTC-BJ01-2207046）,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202209/t20220914_18650755.htm,1,,,,,,,,,,,,,,,
119,密云区第三小学分校区自动录播教室改造项目中标公告,ZCBJ-22ZBDLHS-ZB0163,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202209/t20220909_18628109.htm,1,,,,,,,,,,,,,,,
120,密云区第三中学自动录播教室改造项目中标公告,ZCBJ-22ZBDLHS-ZB0164,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202209/t20220909_18626851.htm,1,,,,,,,,,,,,,,,
121,密云区西田各庄中学自动录播教室改造建设项目中标公告,ZCBJ-22ZBDLHS-ZB0169,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202209/t20220908_18618753.htm,1,,,,,,,,,,,,,,,
122,密云区第一小学自动录播教室改造项目中标公告,ZCBJ-22ZBDLHS-ZB0165,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202209/t20220908_18617726.htm,1,,,,,,,,,,,,,,,
123,密云区穆家峪镇中心小学自动录播教室改造项目中标公告,ZCBJ-22ZBDLHS-ZB0167,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202209/t20220907_18613528.htm,1,,,,,,,,,,,,,,,
124,密云区北庄中学自动录播教室改造项目中标公告,ZCBJ-22ZBDLHS-ZB0170,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202209/t20220907_18613299.htm,1,,,,,,,,,,,,,,,
125,改善办学条件-实训室建设-财税金融实训基地(一期)建设项目行业应用软件采购项目改善办学条件-实训室建设-财税金融实训基地(一期)建设项目行业应用软件采购项目中标公告,11000022210200012693-XM002,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202209/t20220907_18611837.htm,1,,,,,,,,,,,,,,,
126,密云区十里堡镇中心小学自动录播教室改造项目中标公告,ZCBJ-22ZBDLHS-ZB0168,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202209/t20220906_18605268.htm,1,,,,,,,,,,,,,,,
127,北京大学医学部多媒体教室配套设备采购项目中标公告,0873-2201HW6L0431,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202209/t20220906_18605612.htm,1,,,,,,,,,,,,,,,
128,顺义区第一中学附属小学智慧校园建设项目中标公告,11011322210200002791-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202209/t20220906_18603345.htm,1,,,,,,,,,,,,,,,
130,中国传媒大学多语种翻译实训室采购项目中标公告,BIECC-22ZB0543/,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202209/t20220902_18581564.htm,1,,,,,,,,,,,,,,,
132,设备类2022年北京市铁路第二中学扩班设备采购项目设备类2022年北京市铁路第二中学扩班设备采购项目 第六包:计算机听说教室中标公告,11010222210200002686-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202208/t20220831_18565260.htm,1,,,,,,,,,,,,,,,
133,北京师范大学珠海校区公共教室、会议室、报告厅室等场所设施设备驻点服务项目中标公告,ZZGX-GK2022-0710,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202208/t20220830_18560874.htm,1,,,,,,,,,,,,,,,
137,机械设计与数字化建模实训室建设项目中标公告,JCSBJ-2022-030,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202208/t20220823_18513858.htm,1,,,,,,,,,,,,,,,
139,数控技术自动编程实训室建设项目中标公告,JCSBJ-2022-029,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202208/t20220823_18513425.htm,1,,,,,,,,,,,,,,,
140,网络安全产教融合实训室建设项目中标公告,JCSBJ-2022-028,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202208/t20220823_18513107.htm,1,,,,,,,,,,,,,,,
141,电子商务实训室项目中标公告,JCSBJ-2022-027,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202208/t20220823_18512605.htm,1,,,,,,,,,,,,,,,
142,特高项目-改善办学条件-实训室建设-电工技能实训室建设项目中标公告,11000022210200004027-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202208/t20220823_18508376.htm,1,,,,,,,,,,,,,,,
143,双高项目-信息安全与管理专业群-工业互联网典型技术实训室行业应用软件采购项目中标公告,11000022210200012668-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202208/t20220823_18508300.htm,1,,,,,,,,,,,,,,,
145,翠微小学大兴分校教室及办公设备购置项目中标公告,11011522210200001787-XM006,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202208/t20220822_18503015.htm,1,,,,,,,,,,,,,,,
149,北京师范大学教七楼公共教室家具购置项目中标公告,XHTC-HW-2022-0984,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202208/t20220817_18476294.htm,1,,,,,,,,,,,,,,,
150,北京师范大学附属中学演播室（录课教室）设备升级更新采购项目二次中标公告,FG-DLP-2022-0608,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202208/t20220817_18476305.htm,1,,,,,,,,,,,,,,,
154,北京林业大学学10号楼监控更换及中控室分控室监控安全系统采购项目中标公告,北林招（货）[2022]026号,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202208/t20220812_18452285.htm,1,,,,,,,,,,,,,,,
