,标题,项目编号,原文链接,govurl,,,,,,,,,,,,,,,
157,[怀柔]通用技术及创客教室建设通用技术及创客教室建设中标公告,11011622210200001174-XM001,http://ccgp-beijing.gov.cn/xxgg/qjzfcggg/qjzbjggg/t20220812_1448323.html,1,,,,,,,,,,,,,,,
159,北京航空航天大学老主楼智慧教室配套桌椅购置项目中标公告,CTIETC-HWZB-2205012,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202208/t20220801_18370728.htm,1,,,,,,,,,,,,,,,
160,北京航空航天大学老主楼智慧教室配套桌椅购置项目中标公告,CTIETC-HWZB-2205012,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202208/t20220801_18370728.htm,1,,,,,,,,,,,,,,,
163,多功能培训教室设备购置二次招标中标公告,11000022210200008881-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220729_18361224.htm,1,,,,,,,,,,,,,,,
165,北京建筑大学分类发展定额项目—设备购置-多媒体教室集中控制系统设备更新(2022年)中标公告,11000022210200014029-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220728_18351563.htm,1,,,,,,,,,,,,,,,
167,北京石油化工学院2022年智慧校园正版化服务项目中标公告,BMCC-ZC22-0239,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220727_18348203.htm,1,,,,,,,,,,,,,,,
168,北京师范大学附属中学演播室（录课教室）设备升级更新采购项目中标公告,FG-DLP-2022-0608,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220727_18342369.htm,1,,,,,,,,,,,,,,,
172,101中学提前下达2022年市对区促进教育事业均衡发展转移支付综合奖补-英语听说教室中标结果公告,11011622210200000943-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220725_18327726.htm,1,,,,,,,,,,,,,,,
173,101中学提前下达2022年市对区促进教育事业均衡发展转移支付综合奖补-计算机教室设备中标结果公告,11011622210200000934-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220725_18327723.htm,1,,,,,,,,,,,,,,,
174,101中学提前下达2022年市对区促进教育事业均衡发展转移支付综合奖补-合班教室设备中标结果公告,11011622210200000939-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220725_18327725.htm,1,,,,,,,,,,,,,,,
175,北京语言大学多媒体教室升级改造项目中标公告,BIECC-22ZB0318,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220722_18311772.htm,1,,,,,,,,,,,,,,,
177,北京大学医学部小型教室显示系统升级项目中标公告,0873-2201HW5L0341,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220721_18309229.htm,1,,,,,,,,,,,,,,,
178,北京大学医学部小型教室显示系统升级项目中标公告,0873-2201HW5L0341,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220721_18309229.htm,1,,,,,,,,,,,,,,,
179,101中学提前下达2022年市对区促进教育事业均衡发展转移支付综合奖补-学科教室设备中标结果公告,11011622210200000956-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220721_18306853.htm,1,,,,,,,,,,,,,,,
187,北京外国语大学北校区多媒体教室建设项目中标公告,0873-2201HW2L0189,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220720_18301157.htm,1,,,,,,,,,,,,,,,
188,北京外国语大学北校区多媒体教室建设项目中标公告,0873-2201HW2L0189,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220720_18301157.htm,1,,,,,,,,,,,,,,,
189,北师大实验中学教室教学用部分多媒体设备更新与弱电改造项目中标公告,HCZB-2022-ZB0335,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220719_18293645.htm,1,,,,,,,,,,,,,,,
190,北师大实验中学教室教学用部分多媒体设备更新与弱电改造项目中标公告,HCZB-2022-ZB0335,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220719_18293645.htm,1,,,,,,,,,,,,,,,
191,北师大实验中学教室教学用部分多媒体设备更新与弱电改造项目中标公告,HCZB-2022-ZB0335,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220719_18293645.htm,1,,,,,,,,,,,,,,,
192,[ID32052]北京理工大学附属中学智慧校园改造项目中标公告,11010822210200004029-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220719_18290814.htm,1,,,,,,,,,,,,,,,
193,北京航空航天大学老主楼智慧教室配套教学设备购置项目中标公告,CTIETC-HWZB-2205011,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220719_18290218.htm,1,,,,,,,,,,,,,,,
194,特高建设--食品安全与流通专业群实践基地（智慧教室）建设项目(第二次)中标公告,11000022210200012975-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220719_18289313.htm,1,,,,,,,,,,,,,,,
195,北京大学第一教学楼智慧教室改造招标采购项目(第2、第3、第4包）中标公告,OITC-G220311197,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220719_18288639.htm,1,,,,,,,,,,,,,,,
198,中国矿业大学（北京）学院路校区智慧教室建设项目中标公告,BIECC-22ZB0408,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220715_18273420.htm,1,,,,,,,,,,,,,,,
199,中国矿业大学（北京）学院路校区智慧教室建设项目中标公告,BIECC-22ZB0408,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220715_18273420.htm,1,,,,,,,,,,,,,,,
200,北京师范大学珠海校区教学楼教室活动桌椅采购中标公告,GDXSD2022-B01,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220715_18270849.htm,1,,,,,,,,,,,,,,,
202,清华大学六教中控室信息化教学环境升级改造中标公告,0873-2201HW5L0240,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220713_18257300.htm,1,,,,,,,,,,,,,,,
203,关于北京师范大学台州实验学校陶艺教室采购项目（非政府采购项目）的中标结果公示,DDTZ2022-0621,http://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8821588,1,,,,,,,,,,,,,,,
204,中国地质大学(北京)2022—2024年科研楼、学17楼消防中控管理服务中标公告,BIECC-22ZB0400,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220712_18250656.htm,1,,,,,,,,,,,,,,,
205,励学楼、瀚学楼小教室多媒体更新改造第一包中标公告,11000022210200012678-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220712_18248067.htm,1,,,,,,,,,,,,,,,
206,中央财经大学教室、会议室多媒体设备升级改造采购项目中标公告,HW-2022011-MD0134,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220712_18243979.htm,1,,,,,,,,,,,,,,,
207,改善办学保障条件-新校区建设配套-播音主持专业演播棚及专业教室设备购置中标公告,11000022210200011901-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220711_18241093.htm,1,,,,,,,,,,,,,,,
208,[通州]北京拔萃骏源学校专业教室及学科设备购置项目--分散采购部分中标公告,11011222210200002011-XM002,http://ccgp-beijing.gov.cn/xxgg/qjzfcggg/qjzbjggg/t20220711_1440997.html,1,,,,,,,,,,,,,,,
209,北京拔萃骏源学校专业教室及学科设备购置项目--分散采购部分中标公告,11011222210200002011-XM002,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220711_18239596.htm,1,,,,,,,,,,,,,,,
210,改善办学保障条件-良乡校区教室及配套保障设施改造项目中标公告,11000022210200013818-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220708_18232586.htm,1,,,,,,,,,,,,,,,
211,电子商务专业直播实训室建设装修综合布线系统集成项目电子商务专业直播实训室建设装修综合布线系统集成项目中标公告,11000022210200007878-XM002,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220708_18228106.htm,1,,,,,,,,,,,,,,,
212,改善办学保障条件—北京信息科技大学新校区一组团教室智慧教学应用系统建设项目（新竣工楼配套）-专业教室建设分包中标公告,11000022210200009456-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220707_18223286.htm,1,,,,,,,,,,,,,,,
213,改善办学保障条件—北京信息科技大学新校区一组团教室智慧教学应用系统建设项目（新竣工楼配套）-智慧互动教学分包中标公告,11000022210200009456-XM002,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220707_18222546.htm,1,,,,,,,,,,,,,,,
214,北京市海淀区翠微小学大兴分校专业教室设备采购项目中标公告,11011522210200001787-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220707_18217466.htm,1,,,,,,,,,,,,,,,
217,北京工业职业技术学院双高建设-智慧教室建设中标公告,11000022210200013825-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220706_18211052.htm,1,,,,,,,,,,,,,,,
218,北京工业职业技术学院双高建设-智慧教室建设中标公告,11000022210200013825-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220706_18211052.htm,1,,,,,,,,,,,,,,,
219,中国人民大学2022年公共教室多媒体设备升级改造项目中标公告,XHTC-HW-2022-0612,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220706_18208986.htm,1,,,,,,,,,,,,,,,
221,北京大学医学部网络中央控制器、控制面板等采购项目中标公告,0873-2201HW5L0274,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220705_18204318.htm,1,,,,,,,,,,,,,,,
222,中央财经大学教室中控升级改造采购项目中标公告,HW-2022012-MD0135,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220704_18196388.htm,1,,,,,,,,,,,,,,,
223,顺义区教育系统保开学专用教室设备采购项目（第五包）中标公告,11011322210200001580-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220704_18194050.htm,1,,,,,,,,,,,,,,,
224,顺义区教育系统保开学专用教室设备采购项目（第六包）中标公告,11011322210200001580-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220704_18194053.htm,1,,,,,,,,,,,,,,,
226,信息应用创新多功能计算机实训室装修综合布线系统集成采购项目中标公告,11000022210200007876-XM002,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202207/t20220701_18183318.htm,1,,,,,,,,,,,,,,,
231,中国政法大学昌平校区多媒体教室改造项目（三期）中标公告,[2022]BGC-410,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220629_18171977.htm,1,,,,,,,,,,,,,,,
232,智慧教室第一期建设智慧教室第一期建设中标公告,11000022210200008781-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220629_18167783.htm,1,,,,,,,,,,,,,,,
233,拉萨北京实验中学教育资源改善及教学能力提升项目（学生教室改造提升、学生宿舍改造提升、校园整体文化提升）中标公告,拉财采【2022】12号（XZZB-TJGJ-CG-2022064）,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220629_18166326.htm,1,,,,,,,,,,,,,,,
234,拉萨北京实验中学教育资源改善及教学能力提升项目（学生教室改造提升、学生宿舍改造提升、校园整体文化提升）中标公告,拉财采【2022】12号（XZZB-TJGJ-CG-2022064）,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220629_18166326.htm,1,,,,,,,,,,,,,,,
235,中国人民大学1302教室优化升级购置项目中标公告,0873-2201HW4L0261,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220629_18165576.htm,1,,,,,,,,,,,,,,,
237,清华大学附属中学B106教室音视频系统升级改造项目中标公告,BIECC-22ZB0370/,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220627_18153291.htm,1,,,,,,,,,,,,,,,
238,清华大学附属中学B106教室音视频系统升级改造项目中标公告,BIECC-22ZB0370/,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220627_18153291.htm,1,,,,,,,,,,,,,,,
240,北京科技大学多媒体教室设备升级改造中标公告,HCZB-2022-ZB0523,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220622_18123843.htm,1,,,,,,,,,,,,,,,
241,职业教育创新发展-实训基地（实训室）建设-绿色校园校园光伏储能一体化系统项目其他电力工业专用设备采购项目职业教育创新发展-实训基地（实训室）建设-绿色校园校园光伏储能一体化系统项目其他电力工业专用设备采购项目中标公告,11000022210200008821-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220621_18120067.htm,1,,,,,,,,,,,,,,,
242,高水平专业-新媒体产教融合实训室建设项目中标（成交）结果公告,11011422210200001095-XM001,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202206/t20220621_18114247.htm,1,,,,,,,,,,,,,,,
243,华北电力大学教室多媒体教学设备升级项目中标公告,HCZB-2022-ZB0473,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220620_18111633.htm,1,,,,,,,,,,,,,,,
245,北京大学医学部三面屏环绕沉浸式实训室采购项目中标公告,0873-2201HW6L0237,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220617_18097714.htm,1,,,,,,,,,,,,,,,
247,北京中医药大学和平街校区学八楼教室建设项目中标公告,ZBXM20220505150406/TC221902Q,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220616_18089841.htm,1,,,,,,,,,,,,,,,
248,顺义区教育系统保开学专用教室设备采购项目（第二包）中标公告,11011322210200001580-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220614_18076670.htm,1,,,,,,,,,,,,,,,
249,顺义区教育系统保开学专用教室设备采购项目（第一包）中标公告,11011322210200001580-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220614_18076583.htm,1,,,,,,,,,,,,,,,
250,顺义区教育系统保开学专用教室设备采购项目（第三包）中标公告,11011322210200001580-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220614_18076562.htm,1,,,,,,,,,,,,,,,
251,顺义区教育系统保开学专用教室设备采购项目（第四包）中标公告,11011322210200001580-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220614_18076543.htm,1,,,,,,,,,,,,,,,
252,改善办学保障条件—教三楼教室及配套保障设施改造（桌椅）中标公告,11000022210200011631-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220613_18066818.htm,1,,,,,,,,,,,,,,,
253,[ID31650]北京市海淀区上地实验小学安防监控及AI人工智能教室系统建设项目中标公告,11010822210200002093-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220610_18056397.htm,1,,,,,,,,,,,,,,,
254,北京石油化工学院2022年智慧校园网络信息安全运维服务中标公告,XHTC-FW-2022-0750,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220610_18052740.htm,1,,,,,,,,,,,,,,,
255,北京石油化工学院2022年智慧校园网络信息安全运维服务中标公告,XHTC-FW-2022-0750,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220610_18052740.htm,1,,,,,,,,,,,,,,,
257,北京大学医学图书馆家具(阅览桌椅、学术研讨室桌椅、讲台类)采购项目中标公告,0873-2201HW5L0138,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220608_18043512.htm,1,,,,,,,,,,,,,,,
259,家具设计与制造专业实训室建设项目家具设计与制造专业实训室建设项目中标公告,11000022210200007868-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220607_18032709.htm,1,,,,,,,,,,,,,,,
260,基础设施改造-教学业务用房等修缮类项目-首师大附中计算机教室改造工程中标公告,DSY202205-16,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220606_18020130.htm,1,,,,,,,,,,,,,,,
262,轨道交通VR仿真实训室项目其他计算机设备及软件采购项目中标公告,11000022210200009551-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202206/t20220602_18010939.htm,1,,,,,,,,,,,,,,,
263,北京第二外国语学院多媒体教室及报告厅服务保障中标公告,CFTC-BJ01-2204051,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220601_18008343.htm,1,,,,,,,,,,,,,,,
264,专用设备及材料购置项目-首师大附中计算机教室设备购置中标公告,DSY202205-17,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220531_17996258.htm,1,,,,,,,,,,,,,,,
267,双高项目-信息安全与管理专业群-5G移动通信网络实训室建设项目双高项目-信息安全与管理专业群-5G移动通信网络实训室建设项目中标公告,11000022210200004239-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220525_17967424.htm,1,,,,,,,,,,,,,,,
268,特高项目-软件与信息服务专业群-大数据创新应用实训室建设项目行业应用软件开发服务采购项目特高项目-软件与信息服务专业群-大数据创新应用实训室建设项目行业应用软件开发服务采购项目中标公告,11000022210200004518-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220525_17967419.htm,1,,,,,,,,,,,,,,,
270,教学业务用房等修缮类项目-北京第一实验学校专业教室装修改造中标公告,KJY20220679,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220520_17940370.htm,1,,,,,,,,,,,,,,,
271,精品录播教室建设项目中标公告,11000022210200008077-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220518_17929311.htm,1,,,,,,,,,,,,,,,
273,首都经济贸易大学多媒体教室维护服务中标公告,LL-ZB-2022-004,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220517_17920213.htm,1,,,,,,,,,,,,,,,
274,首都经济贸易大学多媒体教室维护服务中标公告,LL-ZB-2022-004,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220517_17920213.htm,1,,,,,,,,,,,,,,,
276,职业教育创新发展-实训基地（实训室）建设—文物复制工作室建设项目教学专用仪器采购项目文物复制工作室建设项目中标公告,11000022210200006339-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220516_17914110.htm,1,,,,,,,,,,,,,,,
277,职业教育创新发展-实训基地（实训室）建设—金属3D打印实训室建设项目教学专用仪器采购项目金属3D打印实训室建设项目中标公告,11000022210200006340-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220516_17914103.htm,1,,,,,,,,,,,,,,,
280,改善办学条件软件教学实训室建设采购项目中标公告,11000022210200008040-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220512_17898756.htm,1,,,,,,,,,,,,,,,
281,北京市海淀区中关村第一小学科学城分校智慧校园（一期）建设其他服务采购项目中标公告,11010822210200003050-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220512_17898683.htm,1,,,,,,,,,,,,,,,
286,护理专业实训室建设采购项目中标公告,11000022210200007754-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220509_17877444.htm,1,,,,,,,,,,,,,,,
1,国际商务服务专业群-智慧教室建设中标公告,11000022210200008986-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220507_17871910.htm,1,,,,,,,,,,,,,,,
2,国际城市交通服务专业群建设-实训室民航模块升级改造中标公告,11000022210200008954-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202205/t20220507_17871905.htm,1,,,,,,,,,,,,,,,
8,北京市上地实验学校九年一贯制改扩建配套教室设备及家具购置中标公告,11010822210200000516-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202204/t20220425_17823996.htm,1,,,,,,,,,,,,,,,
10,图形工作站实训室建设（双高）（第二包：艺术学院）中标公告,11000022210200002208-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202204/t20220421_17801043.htm,1,,,,,,,,,,,,,,,
15,北京电子科技职业学院嵌入式技术创新实训室建设项目（双高）中标公告,11000022210200002196-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202204/t20220402_17732788.htm,1,,,,,,,,,,,,,,,
16,双高项目-信息安全与管理专业群-信息安全评估实训室项目信息安全软件采购项目中标公告,11000022210200001183-XM002,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202204/t20220402_17732533.htm,1,,,,,,,,,,,,,,,
19,曹妃甸实训基地VR虚拟现实实训教室设备采购项目中标公告,11000022210200004912-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202204/t20220401_17728345.htm,1,,,,,,,,,,,,,,,
21,清华大学附属小学双清苑校区教学家具专用教室家具采购项目中标公告,BIECC-22ZB0080/,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202203/t20220325_17705959.htm,1,,,,,,,,,,,,,,,
22,教学业务用房等修缮类项目-北京第一实验学校专业教室装修改造（设计）中标公告,11000022210200001078-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202203/t20220325_17703940.htm,1,,,,,,,,,,,,,,,
23,北京理工大学附属中学教学设备采购及录课教室建设中标公告,0610-2241NH020027,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202203/t20220316_17675302.htm,1,,,,,,,,,,,,,,,
26,职业教育创新发展—实训基地(实训室)建设—天佑工程师核心素养教育基地建设教学专用仪器采购项目01包、02包、03包中标公告,PXM2021_014261_000011-JH002-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202202/t20220216_17595862.htm,1,,,,,,,,,,,,,,,
27,职业教育创新发展—实训基地（实训室）建设—天佑工程师核心素养教育基地建设教学专用仪器采购项目中标公告,PXM2021_014261_000011-JH001-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202202/t20220216_17595793.htm,1,,,,,,,,,,,,,,,